اشکبار	aSkbAr
انتسابی	entesabi
مار	mar
سایید	sayid
شیرخدایی	shirkhodayi
له‌شدگی	lehshodegi
ارزیابی‌شده	arzyabishode
سیاح	saeeah
فسفات	fosfat
اهریمن	ahriman
مغاره	maghare
ارضاء	erza
سیماب	simab
کارخانه‌‌ای	karkhanei
نهصد	nohsad
صادقه	sadeghe
سکایی	sakayi
درک	darak
پایه‌ریزی	payerizi
اگرنه	agarna
تفقه	tafaghghoh
حق‌نگهدار	haghnegahdar
پرور	parvar
خاکستری‌رنگ	khakestarirang
ظرائف	zaraef
توزین	touzin
استقراء	esteghra
پیدایش	peydayesh
بساو	basav
پاسدارنده	pasdarande
سلطنت‌آباد	saltanatabad
پرراز‌و‌رمز	porrazoramz
دلقک	dalghak
آلبینیسم	albinism
خوش‌قیافه	khoshghiyafe
علی‌‌السویه	alassaviee
مردودی	mardudi
متروکه	matruke
آبداری	abdari
شکایت‌‌نامه	shekayatname
مترمکعب	metremokaab
مشکوک	mashkuk
پوشانیده	pushanide
فونکسیونالیسم	fonksiyonalism
حجاز	hejaz
سوداوی‌مزاج	soudavimazaj
گلابی	golabi
سازش‌ناپذیر	sazeshnapazir
فلاتی	falati
حیثیت	heisieeat
بناحق	benahaghgh
انساب	ansab
بریدگی	boridegi
نیمپرده	nimparde
همه‌ساله	hamesale
کاسبرگ	kasbarg
جگری	jegari
بازاری	bazari
زورخانه‌ای	zurkhanei
شیرینی‌جات	shirinijat
دم‌سیاه	domsiyah
انگشتک	angoshtak
دمار	damar
سه‌‌بخشی	sebakhshi
تمثال	temsal
ژان	zhan
گسیخته	gosikhte
پولکی	pulaki
جنگ‌سالار	jangsalar
چلفتی	cholofti
ابلاغی	eblaghi
جهش‌یافته	jaheshyafte
پیازچه	piyazche
منابع	manabee
نامنصفانه	namonsefane
منفرجه	monfareje
مقامی	maghami
زرک	zarak
سزار	sezar
عقیقه	aghighe
امشب	emshab
پلئیستوسن	peleistosen
یکنواخت	yeknavakht
آتی‌ساز	atisaz
خرامان	kharaman
قاطر	ghater
فروتنی	forutani
زرق	zargh
پلی‌وینیل	polivinil
عشیره‌ای	ashirei
بدیع	badiبی‌دلیل	bidalil
و‌گرنه	vagarna
چکاننده	chekanande
اپوزسیون	opozesyon
خالص‌سازی	khalessazi
نقل‌‌قول	naghleghoul
معتمدی	motamedi
گفتمان	gofteman
انزوا	enzeva
سیمکشی	simkeshi
تاق	tagh
شرط	shart
سینه‌سوز	sinesuz
بی‌کله	bikalle
بی‌شماره	bishomare
سابوتاژ	sabutazh
عالی‌قدر	alighadr
پرگنه	pargane
ممالک	mamalek
ساکسون	sakson
ارتودکس	ortodoks
غیرشخصی	gheyreshakhsi
ارث‌بری	ersbari
معتنابه	motanabeh
کتابچه	ketabche
ترکمنچای	torkamanchay
زمین‌دار	zamindar
چین‌خوردگی	chinkhordegi
واگیری	vagiri
اندا	anda
بیش	bish
نبردگاه	nabardgah
از‌جانب	azjanebe
تفس	tafs
اکونومیک	ekonomik
ودا	veda
صلب	solb
پینه‌دوز	pinedouz
به‌آرامی	bearami
سنگ‌‌پرانی	sangparani
تدخین	tadkhin
ترسان	tarsan
مقایسه‌ای	moghayesei
متلاطم	motelatem
عیلام	ilam
مضرات	mazarrat
جهاندیده	jahandide
توضیح	touzih
لباده	labbade
محاربات	moharebat
یارانه‌ای	yaranei
یشمی	yashmi
آقایی	aghayi
خراب‌شده	kharabshode
پیستون	pistun
ناخواه	nakhah
قیچی‌‌کاری	gheychikari
تصعید	taseid
زجاجیه	zojajiee
علامت‌‌گذاری	alamatgozari
مکاتب	makateb
آرامگاهی	aramgahi
مرخص	morakhkhas
فرمود	farmoud
ابو‌دجانه	abudajane
وینسنس	vinsens
فتوا	fatva
آشپزخانه	ashpazkhane
تنش	tanesh
صندوقدار	sandoghdar
فارسان	farsan
زا	za
ونیزیا	veniziya
شمش	shemsh
فروهری	furuhari
خوابگاه	khabgah
چهره‌آزاد	chehreazad
دوچرخه	docharkhe
حضرات	hazarat
فنا‌‌خسرو	fanakhosrou
آقابخشی	aghabakhshi
قدومی	ghodumi
پف	pof
کاپیتالیست	kapitalist
کوس	kus
هول‌انگیز	houlangiz
محفوظ	mahfuz
واو	vav
منسوخ	mansukh
داورزن	davarzan
مد‌نظر	maddenazar
دو‌چهره	dochehre
آموزنده	amuzande
آخت	akht
مردم‌گرایانه	mardomgerayane
ایرانچاپ	iranchap
شمایل	shamayel
باورپذیر	bavarpazir
چنگیز	changiz
یافته	yafte
روانگردان	ravangardan
نغمه‌پرداز	naghmepardaz
استخراجی	estekhraji
گذرنده	gozarande
رویین‌تن	ruyintan
فراماسیون	feramasyon
متهتک	motahattek
جرئت	jorat
الاستیسیته	elastisite
شادباش	shadbash
دربدری	darbedari
مصلحتی	maslehati
ارجمندی	arjmandi
طرازی	tarazi
علی‌‌حسین	alihossain
بازدوست	bazdust
شایعه‌‌پرداز	shayeepardaz
سایه‌دار	sayedar
سرسبزی	sarsabzi
محتاطانه	mohtatane
نقدی	naghdi
حاجی‌آقا	hajiagha
مترس	metres
غیرقطعی	gheyreghatei
برنده	barande
تعلیم‌دهنده	talimdahande
حرم	haram
سنگاب	sangab
حافی	hafi
گهی	gahi
لامائی	lamai
غیرموظف	gheyremovazzaf
به‌اجبار	beejbar
اقلیمی	eghlimi
هیچکاره	hichkare
مجرد	mojarrad
کیان	kiyan
صومعه	soumee
شریعتمداری	shariatmadari
مقاش	maghghash
شتره	shatare
نخودچی	nokhodchi
بیگم	beygom
پینگ‌پنگ	pingpong
اطباء	atebba
جهان‌گرا	jahangera
مکرمه	makrome
میادین	mayadin
مخفی‌کاری	makhfikari
گربه‌رو	gorberou
علیزاده	alizade
نهضتی	nehzati
باارزش	baarzesh
از‌قبیل	azghabile
اعدا	ada
آشتیانی‌پور	ashtiyanipour
کارگروه	karguruh
نیک‌سرشت	nikseresht
دیری	diri
مصراع	mesra
نامزدی	namzadi
اشرافی	ashrafi
کارآیی	karayi
بهمنی	bahmani
قاسم‌‌خانی	ghasemkhani
دائره	daere
میلیمتر	milimetr
شاه‌مقصود	shahmaghsud
ته‌مانده	tahmande
هواخواه	havakhah
خردبین	kheradbin
آلتو	alto
قطیفه	ghatife
بازده	bazdeh
غربال‌بند	gharbalband
بمپور	bampour
نوپایی	noupayi
محلی	mahalli
بلیطی	biliti
تکامل‌یافته	takamolyafte
آلمانی	almani
پوره	poure
نفرت	nefrat
هریس	haris
زمین‌سنجی	zaminsanji
افشاری	afshari
جهرم	jahrom
نگارگری	negargari
پس‌آب	pasab
پیپت	pipet
خوشه‌چین	khushechin
همره	hamrah
فاضل	fazel
پرآهنگ	porahang
خوار	khar
ناهمسو	nahamsu
مهمانی	mehmani
گسترده‌شده	gostardeshode
حق‌شناسی	haghshenasi
جبری	jabri
پازارگاد	pazargad
غرش‌‌کنان	ghorreshkonan
نرموک	narmuk
سناریست	senarist
کاموابافی	kamvabafi
انم	enom
شیست	shist
نبرده	naborde
الجواد	aljavad
پرجنجال	porjanjal
بی‌غل‌وغش	bighalloghash
زشت‌رو	zeshtru
افغانی	afghani
مدرک	madrak
دکوراتیو	dekorativ
آبراه	abrah
ولخرجی	velkharji
اقوی	aghva
نیویورک‌تایمز	niyoyorktaym
جفت	joft
سپه	sepah
شبکاری	shabkari
چای‌کار	chaykar
اتپسی	otopsi
عمامه	ammame
بلژیکی	belzhiki
فنومنولوژی	fenomenolozhi
ذره‌ذره	zarrezarre
پرتگاه	partgah
اختراع	ekhtera
علیایی	olyayi
پولادی	puladi
درداد	dardad
تسلسلی	tasalsoli
دلشاد	delshad
غنچه‌دهان	ghonchedahan
آدامس	adams
المی	alami
مفروش	mafrush
دهن‌بینی	dahanbini
تشخیص	tashkhis
دانش‌آموخته	daneshamukhte
پلاریزه	polarize
سیادت	siyadat
آکرومگالی	akromegali
کاشانی	kashani
روزبه	ruzbeh
غنیمتی	ghanimati
شالیزار	shalizar
دسترسی	dastresi
پرخرج	porkharj
کماندویی	komandouyi
قهرآلود	ghahraloud
یاسرعرفات	yaserarafat
نجم‌آبادی	najmabadi
درواقع	darvaghee
جنائی	jenai
عبیدالله	obeydollah
وبر	veber
گندله‌سازی	gondolesazi
پانچ	panch
حقیر	haghir
واگرا	vagera
مرثیه‌سرا	marsieesora
رزنانس	rezonans
مکعب‌شکل	mokaabshekl
قنادی	ghannadi
بین‌مرزی	beinemarzi
قاب	ghab
چند‌پایه	chandpaye
سکر	sokr
انحطاط	enhetat
جرب	jarab
ساق	sagh
زیر‌بغل	zirbaghal
بی‌دانه	bidane
شیرین‌‌سازی	shirinsazi
رگبال	ragbal
زمینی	zamini
قراباغ	gharabagh
کپرنشین	kaparneshin
تخته‌بند	takhteband
بی‌علت	biellat
طوطی‌‌وار	tutivar
بابائی	babai
پرسابقه	porsabeghe
ستارخان	sattarkhan
دیز	diez
یکه‌بزن	yekkebezan
ضروریات	zarurieeat
حفظ‌شده	hefzshode
آشوری	ashuri
اکلیل	aklil
نیت	nieeat
انبساط	enbesat
دلپاک	delpak
دین‌پرور	dinparvar
آبرفت	abroft
تازه‌مسلمان	tazemosalman
غیرمنتظره	gheyremontazere
ژاندارمری	zhandarmeri
لوکوموتیو	lokomotiv
آبان	aban
هردوت	heredot
شیرگاه	shirgah
کفیلی	kafili
فیروزکوه	firuzkuh
ناپیراسته	napiraste
رافضه	rafeze
تحقیقی	tahghighi
رسانه‌ای	resanei
معروفه	marufe
در‌عین	dareyne
حلواشکری	halvashekari
آمر	amer
عنبر	anbar
فشرده	feshorde
جویا	juya
آشفته‌کار	ashoftekar
کاربن	karbon
گلدسته	goldaste
گرانید	geranid
الکتریسین	elekterisyan
مشاهده‌پذیر	moshahedepazir
اولتراسونیک	oltrasonik
روزمرگی	ruzmarregi
سالب	saleb
متعبد	moteabbed
دارالشفا	daroshshafa
تسهیل	tashil
عملگر	amalgar
شیدایی	sheydayi
چهره‌ای	chehrei
بی‌نتیجه	binatije
میانی	miyani
آشنایی	ashnayi
یاب	yab
روضه‌خوان	rouzekhan
باقی	baghi
بروس	beros
تا	ta
دندانه	dandane
زباله‌کش	zobalekesh
رودگولیت	rudgulit
ژنتیک	zhenetik
اقاریر	agharir
بادامستان	badamestan
خوش‌خیالی	khoshkhiyali
بروجرد	borujerd
خشونت‌گرایی	khoshunatgerayi
معرق	moarragh
نگذاشته	nagozashte
اسب‌دوانی	asbdavani
حتی	hatta
سرتراشی	sartarashi
بی‌تدبیر	bitadbir
بی‌تغییر	bitaghyir
نامنسجم	namonsajem
باکلان	baklan
کان‌کن	kankan
پیراست	pirast
فروساخت	furusakht
اندیکاتور	andikator
لایتغیر	layataghaeear
خاطرنشان	khaterneshan
سیار	saeear
پارسی	parsi
شنل	shenel
لب	lab
تعمیم	tamim
مجله	majalle
چلنگری	chelangari
لم‌یزرع	lamyazra
احمقانه	ahmaghane
پاره‌خط	parekhatt
کوکلانی	kukalani
اصله	asle
فروردین	farvardin
قنا	ghanna
دونده	davande
زمخشری	zamakhshari
به‌موقع	bemoghee
باید	bayad
آژیده	azhide
پیرن	piran
منحنی	monhani
رمید	ramid
کارتون	karton
حضانت	hezanat
آزرده	azorde
بوسلیک	busalik
منهاج	menhaj
برنجی	berenji
هرای	harray
پروژه	porozhe
ملی‌پوش	mellipush
مکلا	mokalla
ورسای	versay
بلوز	boluz
جریده	jaride
الگوسازی	olgusazi
جره	jarre
پنس	pans
بی‌طرفی	bitarafi
لیبیایی	libiyayi
بولیوی	bulivi
تندگیر	tondgir
قداح	ghedah
چادری	chadori
پروانه‌واران	parvanevaran
پامچال	pamchal
دیمه	dime
استعلا	esteela
ملاحسن	mollahasan
روشن‌شدن	roushanshodan
غلتان	ghaltan
فوق	fough
آفیش	afish
حباب	hobab
پایه‌ریز	payeriz
دریاچه	daryache
ناقل	naghel
بهره‌کشی	bahrekeshi
خنج	khanj
حمیدیان	hamidiyan
کالری	kaleri
بهائم	bahaem
مشروع	mashruفولیکولی	folikuli
ترک‌زبان	torkzaban
غازان‌‌خان	ghazankhan
مدل‌سازی	modelsazi
طالبیان	talebiyan
الانصار	alansar
قمرالملوک	ghamarolmuluk
عمل‌‌گرایی	amalgerayi
دستی	dasti
جوزجانی	jouzjani
گسل	gosal
قفاگاه	ghafagah
نجار	najjar
نرم‌کننده	narmkonande
نامتعادلی	namoteadeli
بارانک	baranak
استعماری	esteemari
ملون	molavvan
شنگولی	shanguli
تنور	tanur
جهانتاب	jahantab
دوچرخه‌سازی	docharkhesazi
دیوثی	daeeusi
تندی	tondi
آلدئید	aldeid
بخشنامه‌ای	bakhshnamei
گاوان	gavan
قاچاقچی	ghachaghchi
نامید	namid
متبحرانه	motebahherane
عهدنامه‌ای	ahdnamei
بزرو	bozrou
هم‌ارزش	hamarzesh
خوابانده	khabande
تنگ	tang
اهدایی	ehdayi
غم	gham
زندانبانی	zendanbani
گرمابر	garmabar
فغان	faghan
فیلپا	filpa
اسماعیل‌آباد	esmailabad
نیمه‌هادی	nimehadi
ایرانشهر	iranshahr
یاسین	yasin
دوراندیش	durandish
همساز	hamsaz
جعفریان	jafariyan
الکتروآنسفالوگرافی	elekteroansefalogerafi
چالشگر	chaleshgar
ناگسستنی	nagosastani
بچگانه	bachchegane
شروع‌‌شده	shoroushoude
عزتی	ezzati
کسر	kasr
آشفته‌حال	ashoftehal
آندوتوکسین	andotoksin
رشته	reshte
تعادلی	taadoli
مصارف	masaref
گرمی	garmi
قشقائی	ghashghai
نمادگرا	nemadgera
نه‌تنها	natanha
ملاح	mallah
صندوقچه	sandughche
شومیز	shomiz
بقل	baghl
ستود	sotud
انضمامی	enzemami
حیلت	hilat
آرامش‌طلبی	arameshtalabi
راهن	rahen
هامون	hamun
ژانر	zhaner
بازارگرمی	bazargarmi
رفیع	rafiمفهومی	mafhumi
یاسر	yaser
چانه‌زنی	chanezani
فیض‌آباد	feyzabad
سندرم	sandrom
قجری	ghajari
یک‌بعدی	yekbodi
شنوایی‌سنج	shenavayisanj
انگشت	angosht
زیرین	zirin
پایان‌پذیر	payanpazir
نی‌نی	nini
فصیحی	fasihi
به‌تازگی	betazegi
استادانه	ostadane
ماد	mad
تصویر	tasvir
پرخواننده	porkhanande
زیارتنامه	ziyaratname
ابرار	abrar
نیروسازی	nirusazi
تضعیف‌شده	tazeifshode
دورود	dorud
غلامحسین‌‌خان	gholamhossainkhan
ستوده	sotude
اقتصادی	eghtesadi
جاثلیق	jasligh
بیرجند	birjand
مهار‌نشدنی	maharnashodani
پاستوریزه	pastorize
سختدلی	sakhtdeli
نیلو	nilu
خدشه‌ناپذیر	khadshenapazir
مول	mol
خرگوش	khargush
میلی	mili
آکواریم	akvariyom
آسفالته	asfalte
منیژه	manizhe
نکته‌گیر	noktegir
غوطه‌‌وری	ghutevari
خطاطی	khattati
فشارخون	fesharkhun
آبشش‌پایان	abshoshpayan
فراعنه	faraane
سکنی	sokna
سخاوتمند	sekhavatmand
هورمون	hormon
بادامی	badami
نور‌سلطان	nursoltan
پرسوناژ	personazh
اکسترود	ekstrud
متجسس	motejasses
میترا	mitra
کاوشگاه	kavoshgah
صلح‌آمیز	solhamiz
نابود‌گر	nabudgar
برمک	barmak
خوش‌پوش	khoshpush
مصیبت‌نامه	mosibatname
ارمنستانی	armanestani
ناز	naz
مشغولیات	mashghulieeat
مناب	manab
اخیر	akhir
فراهان	farahan
هافمن	hafman
سه‌‌نفری	senafari
زباله‌سوز	zobalesuz
چشمه‌سار	cheshmesar
رویائی	rouyai
علی‌رغم	alaraghme
راست‌گویی	rastguyi
پناهی	panahi
رفتارشناسی	raftarshenasi
خدا	khoda
جاذبه‌ای	jazebei
نمایشگر	namayeshgar
سپرغم	separgham
حاکم	hakem
نیک‌بخت	nikbakht
کشانید	keshanid
نامه‌بر	namebar
قاره	gharre
امحا	emha
راضی‌کننده	razikonande
کامروایی	kamravayi
ادموند	edmond
بالی	bali
مربعی‌شکل	morabbaishekl
چند‌هفته‌ای	chandhaftei
کبری	kobra
هوابند	havaband
هیدروژناسیون	hidrozhenasiyon
فرشتگی	fereshtegi
فلک	falak
نعیمایی	naimayi
هندی	hendi
دلیری	daliri
تراکمه	tarakeme
ابتدا	ebteda
تشتت	tashattot
ائمه	aemme
داده	dade
ناپایایی	napayayi
تزئیناتی	tazeinati
تماس	tamas
هرجائی	harjai
برجستگی	barjestegi
فعولن	faulon
مالایایی	malayayi
تابلونویس	tablonevis
ذوذنب	zuzanab
تبدیلی	tabdili
لاخه	lakhe
جامعه	jamee
خوش‌اخلاقی	khoshakhlaghi
دیاترمی	diyatermi
اخم	akhm
باسمه	basme
جولای	julay
فراگرفت	faragereft
چشم‌و‌هم‌چشمی	cheshmohamcheshmi
پرکربن	porkarbon
مزدیسنایی	mazdaisnayi
السالوادور	elsalvador
حسنپور	hasanpour
سلامی	salami
آشغالدان	ashghaldan
میوه‌فروشی	mivefurushi
دست‌‌وپاگیر	dastopagir
قنوت	ghonut
برقرار‌شده	barghararshode
فهرست‌‌نویسی	fehrestnevisi
متیقن	motayaghghen
اعمام	amam
مین	min
قصه‌خوان	ghessekhan
ذی‌الحجه	zelhajje
انگاشت	engasht
پیشاور	pishavar
انصرافی	enserafi
سامانمند	samanmand
چهار‌طاقی	chahartaghi
سفیدرود	sefidrud
لوئیز	loueiz
درمان‌کننده	darmankonande
ونداد	vandad
ریزی	rizi
دولبه	dolabe
چوبین	chubin
ناهوازی	nahavazi
بنلاد	bonlad
با‌فکر	bafekr
مربع	morabba
معمم	moammam
اعتراض‌آمیز	eeterazamiz
سلجوق	saljugh
کته	kate
فنلاند	fanland
ناصاف	nasaf
نصیر	nasir
بهروزی	behrouzi
هرچندکه	harchandke
جداناشدنی	jodanashodani
میلیتاریستی	militaristi
تحسین	tahsin
یادنامه	yadname
واب	vab
کینه	kine
پیاده‌رو	piyaderou
نان	nan
تماس‌گیری	tamasgiri
روشن‌بین	roushanbin
استخوان‌درد	ostekhandard
رک	rok
پائیزه	paize
جنحه	jonhe
انوشتکین	anushtakin
نادانی	nadani
سینکروترون	sinkrotron
هاکان	hakan
بادبادک	badbadak
مدیون	madyun
آتشی	atashi
این‌طور	intour
فردسمان	fardsoman
هراکلیوس	herakliyus
قصد	ghasd
نهار	nahar
تنسر	tansar
کم‌چربی	kamcharbi
لنگ‌دراز	lengderaz
شورانگیزی	shurangizi
خداگرایی	khodagerayi
سحرگاه	sahargah
روکوکو	rokoko
غضنفری	ghazanfari
دونپایه	dunpaye
گرده‌افشانی	gardeafshani
فیلگوش	filgush
صفی‌‌زاده	safizade
عزب‌‌دفتری	azabdaftari
علامتی	alamati
سالاد	salad
زاید	zayed
رخش	rakhsh
نانوا	nanva
زغال‌اخته	zoghalakhte
تمدد	tamaddod
گریز	goriz
شعله‌‌گون	sholegun
گزارشی	gozareshi
درهم‌ریختگی	darhamrikhtegi
هم‌نشین	hamneshin
کلوخ	kolukh
رهبری‌فرد	rahbarifard
ضدنفر	zeddenafar
متنوع	motenavvee
حال‌وهوا	halohava
دورویی	doruyi
گرانیت	geranit
چوگان	chougan
ماتیز	matiz
کفر	kofr
هم‌رقص	hamraghs
کیومرث	kiyumars
ارتفاع	ertefa
تخلص	takhallos
فناورانه	fanavarane
ترشرویی	torshruyi
ماه‌عسل	maheasal
کریمزاده	karimzade
قدرت‌‌الله	ghodratollah
اهل	ahl
مادمازل	madmazel
دلنوازی	delnavazi
الواط	alvat
ارزاق	arzagh
جیز	jiz
توانست	tavanest
منقرض‌شده	mongharezshode
پرسخن	porsokhan
پیش‌ساز	pishsaz
قب	ghabb
احمدخانی	ahmadkhani
ناپذیرفتنی	napaziroftani
احمدشاه	ahmadshah
وزرا	vozara
بازیاب	bazyab
بلفاست	belfast
پرتاب	partab
ویلایی	vilayi
دخیل	dakhil
استصواب	estesvab
تکایا	takaya
معده‌ای	meedei
اشکودا	oshkuda
ناوبری	navbari
عطار	attar
تخم‌مرغی	tokhmemorghi
گاردی	gardi
کبار	kebar
تنگ‌چشم	tangcheshm
آریایی‌نژاد	ariyayinezhad
ضد‌‌خشونت	zeddekhoshunat
گونی‌بافی	gunibafi
روباز	rubaz
ری‌شهری	reyshahri
عبدالهادی	abdolhadi
اینچه‌برون	incheborun
شورش	shuresh
آئین	ain
عصب‌‌شناسی	asabshenasi
غالب	ghaleb
عبدالحکیم	abdolhakim
حرارتی	hararati
انسان‌شناس	ensanshenas
قدرتمند	ghodratmand
موسی‌زاده	musazade
آتش‌هراسی	atashharasi
قوم‌‌نگاری	ghoumnegari
دستشویی	dastshuyi
زرزر	zerzer
دارو	daru
عم	amm
لباف	labbaf
دست‌نوشته	dastneveshte
ترساند	tarsand
چاکری	chakeri
پرورانده	parvarande
توسی	tusi
آنتروپومتری	anteropometri
هم‌پیوندی	hampeyvandi
تحسر	tahassor
دریافت‌کننده	daryaftkonande
رواقی	ravaghi
باری	bari
کم‌شیب	kamshib
اتوزوم	otozom
اره	arre
عصب	asab
شئون	shoun
بخش‌بندی	bakhshbandi
فرافکنی	farafekani
مدون	modavvan
خورجینک	khorjinak
موصل	musel
خاله	khale
کوبه	kube
رطوبت‌زدایی	rotubatzodayi
جلادت	jalladat
ملحد	molhed
تجاری	tejari
وکالتی	vekalati
دوآلیسم	dualism
پرمنگنات	permangenat
بنیانگزاری	bonyangozari
دین‌خواه	dinkhah
نیمروزی	nimruzi
هدبند	hedband
شهادت‌طلب	shahadattalab
توری	turi
آبشار	abshar
میجر	meyjer
محمدی‌نیا	mohammadiniya
صهبا	sahba
کنجاله	konjale
فرنگیس	farangis
القاب	alghab
طلاکوبی	talakubi
لیاقت	liyaghat
بربط	barbat
وشمگیر	voshmgir
مضرت	mazerrat
باصر	baser
فلسی	falsi
سخن‌چینی	sokhanchini
هرچقدر	harcheghadr
الزوراء	azzovara
دوخته	dukhte
علیا	olya
آلوده‌کننده	aloudekonande
تحفه	tohfe
کاندوم	kanom
صدیقیان	sedighiyan
یافا	yafa
حاذق	hazegh
همزه	hamze
متوسلانی	motevasselani
پلیدی	palidi
موجود	moujud
کم‌مصرف	kammasraf
با‌فتوت	bafotovvat
آمپول	ampul
شنونده	shenavande
آسف	asef
خولنجان	khulanjan
الف	alef
معیرالممالک	moaeerolmamalek
اقدام	eghdam
اقلام	aghlam
پسامدرن	pasamodern
تغسیل	taghsil
مویه	muye
سانتریفوژ	santerifuzh
انارک	anarak
منزلگه	manzelgah
ماهیچه‌ای	mahichei
عنکبوتی	ankabuti
چطور	chetor
عشرت	eshrat
تیان	tiyan
رآلیسم	realism
مال‌و‌منال	malomanal
پوزه‌بند	puzeband
اشربه	ashrabe
آب‌گردان	abgardan
کیلوسیکل	kilusikl
امنیتی	amnieeati
داغدار	daghdar
ملودی	melodi
فراموش‌‌نشدنی	faramushnashodani
وروجک	vurujak
دوخانه	dokhane
سنکروترون	sankrotron
باریم	bariyom
فلسفی	falsafi
آتشبار	atashbar
تکنو	tekno
گستاخ	gostakh
تام	tamm
کم‌‌آزاری	kamazari
کوزه‌گری	kuzegari
گندله	gondole
ضمه	zamme
عیال	ayal
زاهدی	zahedi
سنه	sane
رکابی	rekabi
فندک	fandak
راهسازی	rahsazi
مولوتوف	molotof
وامانده	vamande
غلیظ	ghaliz
سیریلی	sirili
ارتشی	arteshi
لاجرم	lajaram
کم‌تجربه	kamtajrobe
استعلاج	esteelaj
زنجبیلیان	zanjabiliyan
تیزبر	tizbor
سودپرست	sudparast
باقلا	baghela
نیم‌دایره	nimdayere
گات	gat
صورت‌حساب	surathesab
دینامیک	dinmik
احداث‌کننده	ehdaskonande
کاتولیک	katolik
تدبر	tadabbor
معتاد	motad
فلاش	felash
بهرامشاه	bahramshah
احداث	ehdas
از‌آن‌رو	azanru
قبض	ghabz
غیرمستقیم	gheyremostaghim
تمارض	tamaroz
ژیگولت	zhigulet
کشمش	keshmesh
آلایش	alayesh
انفارکتوس	anfarktus
تعدیل‌کننده	tadilkonande
بمب‌گذاری‌شده	bombgozarishode
باغ‌دار	baghdar
فیزیولوژیک	fiziyolozhik
ایسنا	isna
هیدرودینامیک	hidrodinamik
فضایح	fazayeh
خویشکار	khishkar
متری	metri
نشاسته	neshaste
عزبخانه	azabkhane
دلبری	delbari
ساپروفیت	saprofit
عضله	azole
اهمیتی	ahammieeati
غافلگیر	ghafelgir
سردماغ	sardamagh
تصمیم‌گیری	tasmimgiri
خرمهره	kharmohre
لیزینگ	lizing
همپالکی	hampaleki
خودروسازی	khodrousazi
جور	jour
کومیس	komis
نیی	neyi
عرایض	arayez
کائولین	kaloin
تکبیر	takbir
صحی	sehhi
پاگرد	pagard
البرزی	alborzi
لبنیاتی	labaniyati
مرغوب	marghub
ساغری	saghari
مطبعه	matbae
معصومه	masoume
نفحه	nafhe
غلط‌‌انداز	ghalatandaz
بروجن	borujen
جوزجان	jouzjan
مسقطی	masghati
ریاست‌جمهوری	riyasatjomhuri
نازکی	nazoki
آسوده‌حال	asudehal
راجه	raje
به‌مرور	bemorur
غزنین	ghaznin
گونه‌گونه	gunegune
بلندمدت	bolandmoddat
غزوی	ghazvi
ممان	moman
صیغه	sighe
بوئین	bouein
درخواست‌کننده	darkhastkonande
ده‌روزه	dahruze
بسته‌شده	basteshode
دارابنامه	darabname
ترشح‌شده	tarashshohshode
چکشخوار	chakoshkhar
آفتاب‌پرست	aftabparast
خام‌اندیش	khamandish
محاسبه‌گر	mohasebegar
واگشت	vagasht
پوست‌شناسی	pustshenasi
فتیله	fetile
ابدیت	abadieeat
موضوع	mouzuداعیه	daie
مردی	mardi
مطمح	matmah
آشی	ashi
سوراخ‌‌سوراخ	surakhsurakh
بوری	buri
اضطراب	ezterab
مداوم	modavem
تنوری	tanuri
کاریابی	karyabi
سیمی	simi
اذعان	ezan
اتلال	etlal
لندهور	landehur
پرستار	parastar
خیارترشی	khiyartorshi
بهجت‌اثر	behjatasar
فتوتروپیسم	fototeropism
مغایر	moghayer
سیده	sayede
کره‌‌ای‌‌تبار	koreitabar
پاپاسی	papasi
ام‌البنین	ommolbanin
جگرسوز	jegarsuz
مدفوع	madfuپوششی	pusheshi
هوسناک	havasnak
کاردستی	kardasti
منکراتی	monkarati
تمام‌فلزی	tamamfelezzi
لاادری	laadri
اسمی	esmi
موهبت	muhebat
دنج	denj
جهانگرد	jahangard
مضر	mozerr
گروس	garrus
آتش‌کشی	atashkeshi
عنوان	onvan
متعلقه	motealleghe
هل	hel
ناصریه	naseriee
گیلوئی	gilouei
آلیاژی	aliyazhi
کرتین	keretin
پیر‌موذن	pirmoazzen
اضاف	ezaf
حبیبی	habibi
یخگشا	yakhgosha
قیمتی	gheymati
محمد‌علی	mohammadali
میرزامحمد	mirzamohammad
تیمم	tayammom
شیطان‌‌صفت	sheytansefat
ماتریالیست	materyalist
کاتا	kata
پشگان	pashshegan
بی‌باک	bibak
تعاطی	taati
کشاف	kashshaf
مخروطیان	makhrutiyan
تبرع	tabarro
گزنگ	gazanag
اهلیت	ahlieeat
روح‌انگیز	ruhangiz
شیل	shil
اقامت	eghamat
رواسی	ravasi
تحقیرآمیز	tahghiramiz
اربیتال	orbital
تستر	toster
وحده	vahde
چاندراگوپتا	chanderagupta
همراه	hamrah
رخداد	rokhdad
جماهیر	jamahir
سرمربی	sarmorabbi
پرتجربه	portajrobe
خون‌هراسی	khunharasi
شاپرک	shaparak
تلگرافچی	telgerafchi
مقطع	maghta
کلون	kolun
بلاانقطاع	belaengheta
خاورمیانه	khavarmiyane
زهدان	zehdan
لغزید	laghzid
نیزه	neyze
خودشناسی	khodshenasi
قصب	ghasab
برگرفته‌شده	bargerefteshode
بی‌خویش	bikhish
غیردارویی	gheyredaruyi
جفت‌وجور	joftojur
قهوه‌‌چی	ghahvechi
حلال	halal
شرعی	sharei
